idx	basket	amount_usdc_base	request_tx	request_block	submit_seconds	nonce
6	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	10000000	0x9f729b35325c07320ff9b7a61d79b93f29abda133b88b4f6ae16aa29f8a89899	-	9	351
8	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	50000000	0xfa2865df2a9525bb2db0469c768565b577050991d08acea59c6f9f385fe391b3	-	9	353
4	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	100000000	0x02756bdd7cbb0ef79e93499c20ebfa16cf79a81fc27ea9808983f192335d9889	-	9	349
0	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	5000000	0x3540665d56111c379d9bd1a5ab484a7f7e68cedaf22fd95766ffc3307181df6a	-	10	345
3	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	50000000	0x30430dd9a68d825da644f9659c3bb2de680498628310dabf423469c4206fe76d	-	10	348
9	0x1fbfef9aa7f4e8f8bd84b940396c9263c0c2ac2212f53759ceb3b71aaeed43fe	100000000	0x5552e46916ad31f1631e4becb8f9c77494ce270a8fe85998285b2c2ccdc02946	-	10	354
7	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	25000000	0xf2229520214c855f01ddbba4f264071020b3cb1ab7271b1445bc566400ca2777	-	10	352
2	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	25000000	0x9e92bc42d7bf21a098066bbc8fa76d0beef3a5288c3be8597e69b96c1b2955fd	-	10	347
5	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	5000000	0x8d36c8a3701b3fc05c309e013fcf04537a3e397084880e2e4260bcb004770fc1	-	10	350
1	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	10000000	0x44e5ae8f666b20361178d101843ee67550de35447a97dfe645d741f098191d0f	-	10	346
10	0x74491929c2f72408e48b338222172a8a07d8c3087617d09881d00d72278eb6c1	5000000	0x424dc376363bc838049cdfd0b14a4a9690217790edeae7bf7e135abcff6560a1	-	11	355
17	0xb2cbc4016a8155cd5b6be0c2683f937c73985e9bee24f6cb8e383f4967408757	25000000	0xd0c37ffa68158bd9c6551652e33515dcbfe30b3da2022a741de642e79e82be42	-	11	362
